customer_id,recency,frequency,monetary,unique_products,avg_unit_price,lifespan_days,avg_order_value,purchase_rate,revenue_per_product,r_score,f_score,m_score,rfm_score,segment,churned,cluster,cluster_name,action
12346,326,12,77556.46,27,6.1,400,6463.04,0.0299,2872.46,2,5,5,12,Loyal,1,0,Champions,"Reward with loyalty perks, ask for reviews"
12347,3,8,5633.32,126,2.55,402,704.16,0.0199,44.71,5,4,5,14,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12348,76,5,2019.4,25,3.79,362,403.88,0.0138,80.78,3,4,4,11,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12349,19,4,4428.69,138,8.46,570,1107.17,0.007,32.09,5,3,5,13,Champion,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12350,311,1,334.4,17,3.84,0,334.4,1.0,19.67,2,1,2,5,Hibernating,1,3,Lost,Minimal spend — low re-engagement ROI
12351,376,1,300.93,21,2.36,0,300.93,1.0,14.33,2,1,2,5,Hibernating,1,3,Lost,Minimal spend — low re-engagement ROI
12352,37,10,2849.84,70,13.68,356,284.98,0.028,40.71,4,5,4,13,Champion,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12353,205,2,406.76,23,2.63,204,203.38,0.0098,17.69,2,2,2,6,Hibernating,1,1,At Risk,"Send win-back campaigns, offer discounts"
12354,233,1,1079.4,58,4.5,0,1079.4,1.0,18.61,2,1,3,6,Hibernating,1,1,At Risk,"Send win-back campaigns, offer discounts"
12355,215,2,947.61,35,3.07,353,473.8,0.0056,27.07,2,2,3,7,At Risk,1,1,At Risk,"Send win-back campaigns, offer discounts"
12356,23,6,6373.68,104,3.15,401,1062.28,0.0149,61.29,4,4,5,13,Champion,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12357,34,3,18287.66,261,6.2,355,6095.89,0.0084,70.07,4,3,5,12,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12358,2,5,3887.07,56,5.37,730,777.41,0.0068,69.41,5,4,5,14,Champion,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12359,58,10,8935.94,305,7.37,676,893.59,0.0148,29.3,4,5,5,14,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12360,53,8,4252.89,160,3.21,603,531.61,0.0132,26.58,4,4,5,13,Champion,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12361,288,4,511.25,18,3.87,394,127.81,0.0101,28.4,2,3,2,7,At Risk,1,1,At Risk,"Send win-back campaigns, offer discounts"
12362,4,11,5356.23,201,4.41,735,486.93,0.0149,26.65,5,5,5,15,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12363,110,2,552.0,23,2.31,132,276.0,0.015,24.0,3,2,2,7,At Risk,1,1,At Risk,"Send win-back campaigns, offer discounts"
12364,8,4,1313.1,70,1.91,104,328.28,0.0381,18.76,5,3,4,12,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12365,292,2,641.38,22,17.15,0,320.69,2.0,29.15,2,2,3,7,At Risk,1,1,At Risk,"Send win-back campaigns, offer discounts"
12366,634,1,500.24,3,1.69,0,500.24,1.0,166.75,1,1,2,4,Hibernating,1,3,Lost,Minimal spend — low re-engagement ROI
12367,5,1,168.9,11,3.2,0,168.9,1.0,15.35,5,1,1,7,At Risk,0,1,At Risk,"Send win-back campaigns, offer discounts"
12368,629,1,917.7,18,4.39,0,917.7,1.0,50.98,1,1,3,5,Hibernating,1,3,Lost,Minimal spend — low re-engagement ROI
12369,414,3,1791.15,90,3.15,228,597.05,0.0131,19.9,1,3,4,8,At Risk,1,3,Lost,Minimal spend — low re-engagement ROI
12370,52,7,4320.31,168,3.43,617,617.19,0.0113,25.72,4,4,5,13,Champion,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12371,45,5,4067.38,134,3.99,600,813.48,0.0083,30.35,4,4,5,13,Champion,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12372,72,3,1298.04,34,3.0,224,432.68,0.0133,38.18,3,3,4,10,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12373,312,3,1127.65,36,4.63,362,375.88,0.0083,31.32,2,3,3,8,At Risk,1,2,Loyal Customers,"Upsell premium products, increase frequency"
12374,26,4,2989.22,79,3.48,563,747.3,0.0071,37.84,4,3,5,12,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12375,11,2,457.5,14,6.91,87,228.75,0.0227,32.68,5,2,2,9,At Risk,0,1,At Risk,"Send win-back campaigns, offer discounts"
12376,390,2,503.15,11,8.03,28,251.58,0.069,45.74,2,2,2,6,Hibernating,1,3,Lost,Minimal spend — low re-engagement ROI
12377,316,4,3426.32,129,2.74,274,856.58,0.0145,26.56,2,3,5,10,Loyal,1,2,Loyal Customers,"Upsell premium products, increase frequency"
12378,130,2,5416.32,281,3.38,432,2708.16,0.0046,19.28,3,2,5,10,Loyal,1,2,Loyal Customers,"Upsell premium products, increase frequency"
12379,82,4,1620.22,58,2.91,452,405.06,0.0088,27.93,3,3,4,10,Loyal,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12380,22,11,9676.3,156,9.89,640,879.66,0.0172,62.03,4,5,5,14,Champion,0,0,Champions,"Reward with loyalty perks, ask for reviews"
12381,5,5,1845.31,70,4.68,115,369.06,0.0431,26.36,5,4,4,13,Champion,0,2,Loyal Customers,"Upsell premium products, increase frequency"
12383,185,5,1850.56,84,3.09,167,370.11,0.0298,22.03,3,4,4,11,Loyal,1,2,Loyal Customers,"Upsell premium products, increase frequency"
12384,29,2,585.27,26,7.88,92,292.64,0.0215,22.51,4,2,2,8,At Risk,0,1,At Risk,"Send win-back campaigns, offer discounts"
12385,380,1,1938.4,65,3.68,0,1938.4,1.0,29.82,2,1,4,7,At Risk,1,3,Lost,Minimal spend — low re-engagement ROI
12386,338,2,660.8,10,2.54,29,330.4,0.0667,66.08,2,2,3,7,At Risk,1,3,Lost,Minimal spend — low re-engagement ROI
