week_start,revenue,orders,customers,units_sold,revenue_lag_1w,revenue_lag_2w,revenue_lag_4w,revenue_lag_8w,revenue_roll4,revenue_roll8,week_num,year
2009-11-30,232917.94,512,427,139019.0,,,,,,,49,2009
2009-12-07,209021.27,494,411,110196.0,232917.94,,,,,,50,2009
2009-12-14,208936.75,441,359,126236.0,209021.27,232917.94,,,,,51,2009
2009-12-21,35778.2,65,54,24702.0,208936.75,209021.27,,,,,52,2009
2010-01-04,167928.48,192,167,96035.0,35778.2,208936.75,232917.94,,171663.54,,1,2010
2010-01-11,125897.76,242,198,67164.0,167928.48,35778.2,209021.27,,155416.17,,2,2010
2010-01-18,119968.78,254,220,128320.0,125897.76,167928.48,208936.75,,134635.3,,3,2010
2010-01-25,143524.04,323,277,79402.0,119968.78,125897.76,35778.2,,112393.3,,4,2010
2010-02-01,112879.67,270,226,62598.0,143524.04,119968.78,167928.48,232917.94,139329.77,155496.65,5,2010
2010-02-08,80356.15,254,226,48123.0,112879.67,143524.04,125897.76,209021.27,125567.56,140491.87,6,2010
2010-02-15,161135.59,280,234,173692.0,80356.15,112879.67,119968.78,208936.75,114182.16,124408.73,7,2010
2010-02-22,151999.65,300,240,88348.0,161135.59,80356.15,143524.04,35778.2,124473.86,118433.58,8,2010
2010-03-01,152373.5,351,298,99344.0,151999.65,161135.59,112879.67,167928.48,126592.76,132961.26,9,2010
2010-03-08,119121.9,283,244,72516.0,152373.5,151999.65,80356.15,125897.76,136466.22,131016.89,10,2010
2010-03-15,165246.36,324,273,150873.0,119121.9,152373.5,161135.59,119968.78,146157.66,130169.91,11,2010
2010-03-22,172710.76,373,320,131589.0,165246.36,119121.9,151999.65,143524.04,147185.35,135829.61,12,2010
2010-03-29,118858.28,267,214,66065.0,172710.76,165246.36,152373.5,112879.67,152363.13,139477.95,13,2010
2010-04-05,124790.76,270,229,82006.0,118858.28,172710.76,119121.9,80356.15,143984.32,140225.27,14,2010
2010-04-12,142115.82,292,243,81634.0,124790.76,118858.28,165246.36,161135.59,145401.54,145779.6,15,2010
2010-04-19,139570.95,358,286,78309.0,142115.82,124790.76,172710.76,151999.65,139618.9,143402.13,16,2010
2010-04-26,171797.68,375,326,99462.0,139570.95,142115.82,118858.28,152373.5,131333.95,141848.54,17,2010
2010-05-03,149563.97,315,258,90722.0,171797.68,139570.95,124790.76,119121.9,144568.8,144276.56,18,2010
2010-05-10,156021.74,344,296,104642.0,149563.97,171797.68,142115.82,165246.36,150762.11,148081.82,19,2010
2010-05-17,139474.83,322,269,83556.0,156021.74,149563.97,139570.95,172710.76,154238.58,146928.74,20,2010
2010-05-24,142557.42,356,312,101070.0,139474.83,156021.74,171797.68,118858.28,154214.56,142774.25,21,2010
2010-05-31,90891.2,242,207,56708.0,142557.42,139474.83,149563.97,124790.76,146904.49,145736.65,22,2010
2010-06-07,201253.92,441,368,120247.0,90891.2,142557.42,156021.74,142115.82,132236.3,141499.2,23,2010
2010-06-14,127393.78,316,267,79632.0,201253.92,90891.2,139474.83,139570.95,143544.34,148891.46,24,2010
2010-06-21,104256.36,287,246,60121.0,127393.78,201253.92,142557.42,171797.68,140524.08,147369.32,25,2010
2010-06-28,171508.46,357,310,105215.0,104256.36,127393.78,90891.2,149563.97,130948.82,138926.65,26,2010
2010-07-05,137063.11,311,266,71307.0,171508.46,104256.36,201253.92,156021.74,151103.13,141669.71,27,2010
